run_accession	sample_accession	scientific_name	study_title
ERR2930825	SAMEA5131711	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930835	SAMEA5131631	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930839	SAMEA5131596	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930841	SAMEA5131673	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930843	SAMEA5131593	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930844	SAMEA5131659	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930846	SAMEA5131640	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930847	SAMEA5131699	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930851	SAMEA5131624	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930853	SAMEA5131646	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930855	SAMEA5131620	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930856	SAMEA5131677	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930858	SAMEA5131678	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930859	SAMEA5131632	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930861	SAMEA5131693	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930865	SAMEA5131700	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930866	SAMEA5131635	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930867	SAMEA5131710	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930868	SAMEA5131606	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930869	SAMEA5131594	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930870	SAMEA5131717	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930871	SAMEA5131621	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930872	SAMEA5131713	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930874	SAMEA5131688	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930879	SAMEA5131612	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930754	SAMEA5131595	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930757	SAMEA5131660	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930761	SAMEA5131622	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930769	SAMEA5131637	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930772	SAMEA5131591	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930773	SAMEA5131650	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930774	SAMEA5131704	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930777	SAMEA5131667	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930778	SAMEA5131641	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930779	SAMEA5131680	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930783	SAMEA5131690	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930786	SAMEA5131651	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930793	SAMEA5131647	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930795	SAMEA5131658	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930796	SAMEA5131679	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930797	SAMEA5131706	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930798	SAMEA5131681	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930800	SAMEA5131590	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930801	SAMEA5131597	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930804	SAMEA5131686	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930807	SAMEA5131697	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930808	SAMEA5131629	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930810	SAMEA5131657	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930811	SAMEA5131703	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930824	SAMEA5131626	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930826	SAMEA5131696	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930829	SAMEA5131638	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930831	SAMEA5131610	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930832	SAMEA5131682	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930834	SAMEA5131674	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930837	SAMEA5131619	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930840	SAMEA5131648	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930849	SAMEA5131636	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930852	SAMEA5131702	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930862	SAMEA5131609	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930863	SAMEA5131683	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930864	SAMEA5131633	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
ERR2930873	SAMEA5131601	Hordeum vulgare subsp. vulgare	These data were generated to test for allele-specific expression on a genome-wide scale. Both cis- and trans-acting factors contribute to gene expression. In diploid hybrids, both alleles experience the same nuclear environment, so trans effects will cancel out. This means that if both alleles in the hybrid are not expressed at the same level, cis-acting factors must be responsible for the imbalance. In additon to using accessions of various domestication status (wild material, landraces, as well as cultivars) we also used cold (4 degrees C) treatment as a stress (versus control temperature).
